Car Mechanic Simulator 2021," 11 Aug, 2021",12115,"Simulation, Automobile Sim, Sandbox, Racing, Realistic, Moddable, 3D, Driving, Immersive Sim, First-Person, Puzzle, Education, Singleplayer, Atmospheric, Adventure, Open World, Minigames, Strategy, Indie, Great Soundtrack"
Propnight," 1 Dec, 2021",8743,"Multiplayer, Horror, Action, Survival Horror, 3D, First-Person, Online Co-Op, Third Person, PvP, Co-op, Stylized, Combat, Asynchronous Multiplayer, Funny, Survival, Controller"
Subnautica: Below Zero," 13 May, 2021",59219,"Open World Survival Craft, Survival, Underwater, Open World, Singleplayer, Exploration, Adventure, Base Building, Horror, Crafting, First-Person, Aliens, Survival Horror, Sci-fi, Early Access, Story Rich, Atmospheric, Great Soundtrack, Sandbox, Multiplayer"
Will To Live Online," 5 Apr, 2018",12071,"Survival, Multiplayer, Open World, Free to Play, Post-apocalyptic, Open World Survival Craft, Massively Multiplayer, FPS, Action, MMORPG, Shooter, Crafting, First-Person, RPG, Early Access, Exploration, Violent, Atmospheric, Indie, Gore"
Hunt: Showdown - Meridian Turncoat," 24 Mar, 2022",74,"Action, Gore, Violent, Team-Based, Survival Horror, First-Person, Horror, Multiplayer, Survival, Shooter, FPS, America, Hunting, Perma Death, Beautiful, Character Customization, Atmospheric, Combat, Lore-Rich, Gun Customization"
Insurgency: Sandstorm," 12 Dec, 2018",70942,"FPS, Realistic, Shooter, Military, Multiplayer, Tactical, Action, First-Person, Online Co-Op, War, Co-op, Violent, Gore, Atmospheric, Difficult, Simulation, Open World, Massively Multiplayer, Indie, Choices Matter"
The Ascent," 29 Jul, 2021",11540,"Top-Down Shooter, Cyberpunk, Action, RPG, Shooter, Open World, Indie, Co-op, Adventure, Isometric, Action RPG, Violent, Gore, Dystopian , Twin Stick Shooter, Futuristic, Character Customization, Split Screen, PvE, Controller"
Frostpunk 2, TBA,,"Strategy, Survival, City Builder, Simulation, Resource Management, Post-apocalyptic, Singleplayer, Sequel, Violent, Gore, Nudity, Steampunk, Atmospheric, Great Soundtrack"
RimWorld - Royalty," 24 Feb, 2020",1691,"Strategy, Indie, Simulation, Base Building, Sandbox, Colony Sim, City Builder, Survival, Management, Singleplayer, Space, Sci-fi"
Nobody - The Turnaround, 2022,,"Simulation, Life Sim, Realistic, Survival, Sandbox, Strategy, Open World, Choices Matter, Emotional, Management, Resource Management, Romance, Character Customization, Multiple Endings, Story Rich, Adventure, Atmospheric, Singleplayer, Choose Your Own Adventure, 3D"
Wartales," 1 Dec, 2021",4331,"RPG, Open World, Turn-Based Strategy, Adventure, Medieval, Strategy, Exploration, Singleplayer, Early Access, Indie, Tactical RPG, Story Rich, Survival, 3D, Turn-Based Combat, Sandbox, Violent, Fantasy, Turn-Based, Tactical"
IL-2 Sturmovik: Battle of Stalingrad," 22 Oct, 2014",5388,"Simulation, Flight, World War II, Realistic, Historical, Action, VR, War, Multiplayer, Singleplayer, Military, Atmospheric, TrackIR, Tanks, First-Person, Open World, Massively Multiplayer, FPS, Shooter, Controller"
Orcs Must Die! 3," 23 Jul, 2021",5550,"Tower Defense, Co-op, Strategy, Third-Person Shooter, PvE, Action, 3D, Funny, Third Person, Adventure, Fantasy, Combat, Online Co-Op, Multiplayer, Stylized, Co-op Campaign, Physics, Singleplayer, Comedy, Cartoony"
The Wandering Village, Summer 2022,,"Early Access, Cute, Roguelite, Farming Sim, Life Sim, Colony Sim, Survival, City Builder, Resource Management, Management, 2.5D, Building, Strategy, Simulation, Base Building, Sandbox, Relaxing, Roguelike, Atmospheric, Automation"
Stranded Deep," 23 Jan, 2015",32406,"Open World Survival Craft, Survival, Multiplayer, Open World, Crafting, First-Person, Adventure, Exploration, Realistic, Singleplayer, Building, Sandbox, Co-op, Simulation, Early Access, Underwater, Action, Atmospheric, Indie, Strategy"
Apex Legends™," 4 Nov, 2020",434961,"Free to Play, Battle Royale, Multiplayer, Shooter, First-Person, FPS, PvP, Action, Hero Shooter, Team-Based, Tactical, Survival, Character Customization, Funny, Sci-fi, Loot, Lore-Rich, Cyberpunk, Cinematic, Co-op"
Grim Dawn," 25 Feb, 2016",61722,"Action RPG, Dark Fantasy, Hack and Slash, RPG, Loot, Dungeon Crawler, Co-op, Dark, Multiplayer, Singleplayer, Fantasy, Action, Adventure, Isometric, Atmospheric, Post-apocalyptic, Indie, Zombies, Kickstarter, Crowdfunded"
